Agriculture and Agri-Food Canada;http://www.agr.gc.ca/eng/about-our-department/acts-and-regulations/forward-regulatory-plan/?id=1361906063705;AAFC
Canada Border Services Agency;https://www.cbsa-asfc.gc.ca/agency-agence/actreg-loireg/frp-ppr-eng.html;CBSA
Canada Industrial Relations Board;http://www.cirb-ccri.gc.ca/eic/site/047.nsf/eng/00230.html;CIRB
Canada Revenue Agency;https://www.canada.ca/en/revenue-agency/programs/about-canada-revenue-agency-cra/acts-regulations/forward-regulatory-plan/current-initiatives/regulatory-initiatives.html;CRA
Canadian Dairy Commission;https://cdc-ccl.ca/index.php/en/about-the-canadian-dairy-commission/acts-and-regulations/forward-regulatory-plan-edit/;CDC
Canadian Environmental Assessment Agency;https://iaac-aeic.gc.ca/default.asp?lang=en&n=8A9D4200-1;CEAA
Canadian Food Inspection Agency;https://inspection.gc.ca/about-the-cfia/acts-and-regulations/forward-regulatory-plan/2019-to-2021/eng/1505738163122/1505738211563;CFIA
Canadian Grain Commission;https://grainscanada.gc.ca/en/industry/acts-regulations/forward-regulatory-plan.html;CGC
Canadian Heritage;https://www.canada.ca/en/canadian-heritage/corporate/transparency/laws-regulations/forward-regulatory-plan/2018-2020.html;PCH
Canadian Nuclear Safety Commission;http://www.nuclearsafety.gc.ca/eng/acts-and-regulations/regulatoryplan/forward-regulatory-plan-details/index.cfm;CNSC
Canadian Pari-Mutuel Agency;http://www.agr.gc.ca/eng/about-our-department/partners-and-agencies-agriculture-and-agri-food-canada/canadian-pari-mutuel-agency/acts-and-regulations-canadian-pari-mutuel-agency/forward-regulatory-plan-canadian-pari-mutuel-agency/forward-regulatory-plan/?id=1553614260235;CPMA
Canadian Transportation Agency;https://www.otc-cta.gc.ca/eng/forward-regulatory-plan-2019-2021;CTA
Department of Finance Canada;https://www.canada.ca/en/department-finance/corporate/laws-regulations/forward-regulatory-plan/2018-2020.html;FIN
Department of Justice Canada;https://www.justice.gc.ca/eng/trans/ar-lr/frp-ppr/2019_2021.html;JUS
Employment and Social Development Canada;https://www.canada.ca/en/employment-social-development/corporate/transparency/laws-regulations/forward-regulatory-plan/2019-2021.html;ESDC
Employment and Social Development Canada (Labour);https://www.canada.ca/en/employment-social-development/programs/laws-regulations/labour/forward-regulatory-plan/forward-regulatory-plan-2019-2021.html;LabourProgram
Environment and Climate Change Canada;https://www.canada.ca/en/environment-climate-change/corporate/transparency/acts-regulations/forward-regulatory-plan/2019-2021.html;ECCC
Farm Products Council of Canada;http://fpcc-cpac.gc.ca/index.php/en-GB/regulatt/forward-regulatory-plan/57-fpcc-cpac/reglementations/1699-forward-regulatory-plan-2019-2021;FPCC
Fisheries and Oceans Canada;http://www.dfo-mpo.gc.ca/acts-lois/initiatives-eng.htm;DFO
Global Affairs Canada;https://www.international.gc.ca/gac-amc/publications/regulatory_system-systeme_de_reglementation/frp2017_2019-ppr2017_2019.aspx?lang=eng;GAC
Hearth Canada;https://www.canada.ca/en/health-canada/corporate/about-health-canada/legislation-guidelines/acts-regulations/forward-regulatory-plan/plan.html;HC
Immigration, Refugees and Citizenship Canada;https://www.canada.ca/en/immigration-refugees-citizenship/corporate/mandate/acts-regulations/forward-regulatory-plan/list.html;IRCC
Indigenous and Northern Affairs Canada;https://www.rcaanc-cirnac.gc.ca/eng/1361461250759/1544639186809;INAC
Innovation, Science and Economic Development Canada;http://www.ic.gc.ca/eic/site/020.nsf/eng/00615.html;ISED
National Defence;https://www.canada.ca/en/department-national-defence/corporate/policies-standards/acts-regulations/forward-regulatory-plan.html;DND
National Energy Board;https://www.cer-rec.gc.ca/bts/ctrg/frp/frpyr-eng.html;NEB
Natural Resources Canada;https://www.nrcan.gc.ca/nrcan/transparency/acts-regulations/forward-regulatory-plan-2019-2021/18316;NRC
Office of the Superintendent of Financial Institutions;https://www.canada.ca/en/department-finance/corporate/laws-regulations/forward-regulatory-plan/2018-2020.html;OSFI
Parks Canada Agency;https://www.pc.gc.ca/en/agence-agency/lr-ar/pp-fp/pp-fp2019;PC
Patented Medicines Prices Review Board;http://www.pmprb-cepmb.gc.ca/view.asp?ccid=496;PMPRB
Public Health Agency of Canada;https://www.canada.ca/en/public-health/corporate/mandate/about-agency/acts-regulations/forward-regulatory-plan.html;PHAC
Public Safety Canada;https://www.publicsafety.gc.ca/cnt/trnsprnc/cts-rgltns/frwrd-rgltr-pln/frwrd-rgltr-pln-en.aspx;PS
Public Service Commission of Canada;https://www.canada.ca/en/public-service-commission/services/acts-regulations/forward-regulatory-plan/forward-regulatory-plan-2019-2021.html;PSC
Public Services and Procurement Canada;https://www.tpsgc-pwgsc.gc.ca/lr-ar/prospectif-forward-eng.html;PSPC
Royal Canadian Mounted Police;https://www.rcmp-grc.gc.ca/en/rcmp-forward-regulatory-plan;RCMP
Statistics Canada;https://www.statcan.gc.ca/eng/about/frp/frp-3;StatCan
Transport Canada;https://www.tc.gc.ca/eng/acts-regulations/forward-regulatory-plan.htm;TC
Treasury Board of Canada Secretariat;https://www.canada.ca/en/treasury-board-secretariat/corporate/transparency/acts-regulations/forward-regulatory-plan.html;TBS
Veterans Affairs Canada;https://www.veterans.gc.ca/eng/about-vac/legislation-policies/legislation/forward-regulatory-plan#plan;VAC
